timestamp,open,high,low,close,volume
2019-11-15,206.7800,206.7800,203.9200,204.2495,714612
2019-11-14,204.4400,206.3400,203.3550,206.0500,898587
2019-11-13,202.6000,205.9600,202.4000,204.6200,1076600
2019-11-12,198.9700,201.8400,198.2200,201.4900,1009300
2019-11-11,197.4900,199.7500,197.1900,198.6500,773000
2019-11-08,198.9400,200.5000,197.5400,198.1700,1172300
2019-11-07,199.0200,199.0900,196.7400,199.0000,1023400
2019-11-06,196.8100,198.8600,196.5100,198.5900,976800
2019-11-05,197.0200,197.9700,195.7900,196.9500,1178800
2019-11-04,201.7500,202.3700,196.7100,197.0200,1377800
2019-11-01,206.9100,207.7900,200.5300,201.5100,1358000
2019-10-31,204.2000,209.3500,203.9500,205.7500,1541000
2019-10-30,203.8900,207.4200,202.1100,204.9700,1595000
2019-10-29,200.9900,203.5400,199.9500,201.0000,2497500
2019-10-28,201.6300,201.7200,196.9500,200.6600,2563000
2019-10-25,203.5200,204.4000,200.4000,200.4600,1396100
2019-10-24,202.9200,204.4200,201.4400,203.2500,1197400
2019-10-23,201.9000,204.1200,200.1200,202.2300,1043100
2019-10-22,206.2300,207.4700,201.5000,202.0200,1584800
2019-10-21,212.2100,212.9400,205.7900,206.0700,1274400
2019-10-18,213.5800,214.1200,211.6100,213.1700,1245100
2019-10-17,211.9500,213.2200,210.3000,213.0100,1420900
2019-10-16,211.2500,212.0600,208.6700,212.0100,1166600
2019-10-15,213.1300,214.0000,211.4000,212.5700,721700
2019-10-14,213.4300,214.8900,212.0100,212.3500,774000
2019-10-11,217.7900,217.7900,211.7500,212.8300,1193900
2019-10-10,214.2200,217.2400,214.0200,215.8900,673100
2019-10-09,214.2500,215.4200,212.5200,215.1300,768700
2019-10-08,212.5100,213.8100,211.2600,212.1400,1264500
2019-10-07,214.5700,215.6000,212.6800,213.3300,916900
2019-10-04,210.2500,216.1900,209.9600,216.0200,1036900
2019-10-03,208.4200,210.9700,207.7000,209.4300,1007600
2019-10-02,210.0500,211.8100,206.8800,207.8400,1260600
2019-10-01,211.3400,211.8800,208.3200,210.7200,1106400
2019-09-30,214.8000,214.8300,210.5900,211.3400,1119700
2019-09-27,217.1800,217.8800,213.2200,213.8900,1030800
2019-09-26,214.8200,216.6900,214.2200,215.9900,1248300
2019-09-25,213.4200,214.0600,211.1800,213.2800,1119500
2019-09-24,213.0600,216.6700,211.9900,212.9100,1125800
2019-09-23,209.7700,213.0000,209.5800,212.2800,835200
2019-09-20,212.8900,212.8900,209.7800,211.1500,2050100
2019-09-19,214.0600,216.1500,210.9400,211.9500,1362700
2019-09-18,215.1000,216.4700,212.9900,216.1700,1166000
2019-09-17,207.0200,214.8600,205.6300,214.7300,2497000
2019-09-16,205.5700,209.1900,205.1300,207.0000,1244700
2019-09-13,206.1300,206.5400,202.5400,205.8000,1122600
2019-09-12,201.9800,205.7700,201.7800,205.3800,1764800
2019-09-11,206.0000,206.7000,201.9400,202.5800,2564200
2019-09-10,215.3800,216.6500,204.5100,205.4300,2569700
2019-09-09,223.9900,224.0000,214.8500,215.5800,1343200
2019-09-06,221.5200,224.9100,221.3200,223.0700,1093900
2019-09-05,224.0300,224.8600,220.5500,221.1800,1185100
2019-09-04,217.6200,221.7600,217.5400,221.0600,1131700
2019-09-03,216.0700,218.1000,215.6700,217.7600,1045300
2019-08-30,215.9100,217.7400,214.6700,217.2900,947300
2019-08-29,216.8300,216.8700,213.0900,215.6900,667200
2019-08-28,216.5700,217.2200,214.3100,215.7600,817900
2019-08-27,215.4400,217.5100,214.8100,216.2200,993500
2019-08-26,211.8200,214.8100,211.8200,214.6400,798600
2019-08-23,212.5300,213.7500,210.4000,211.2200,1547500
2019-08-22,214.5200,214.7900,213.1400,213.2400,755400
2019-08-21,215.0700,215.2000,211.9900,213.4900,1089500
2019-08-20,216.7400,217.6500,213.6100,213.8500,871800
2019-08-19,215.0000,217.2400,213.9300,216.7000,754400
2019-08-16,214.3400,214.3400,211.9300,213.5800,1168700
2019-08-15,210.7700,213.2884,209.0200,212.7100,1293200
2019-08-14,211.0900,213.2200,208.2599,208.3400,1455300
2019-08-13,212.4000,214.7820,208.7000,213.3000,986300
2019-08-12,213.2000,216.7000,211.7900,212.2500,1122600
2019-08-09,212.3800,216.7071,211.6800,215.7200,1051900
2019-08-08,209.7300,211.2400,207.0700,211.1000,1050000
2019-08-07,206.7400,210.1700,204.8000,208.8900,1869800
2019-08-06,202.3800,209.1500,202.1300,208.3800,1431800
2019-08-05,203.2900,205.4100,199.2000,201.8800,1767800
2019-08-02,201.1800,206.3700,199.5800,205.1600,1788300
2019-08-01,194.0500,201.9200,193.6500,200.6000,2524700
2019-07-31,194.6600,195.9800,193.0900,194.4200,2187500
2019-07-30,199.0300,200.6300,196.8200,197.3100,1181400
2019-07-29,201.5500,202.1500,198.9200,199.6400,1295600
2019-07-26,201.4400,202.1700,200.3400,201.0700,1189900
2019-07-25,201.8800,203.6500,201.2700,201.6600,838900
2019-07-24,206.0200,206.6500,198.2100,201.6400,1764800
2019-07-23,204.7900,205.7800,203.9300,205.3500,1007300
2019-07-22,205.6200,206.7200,204.0100,206.1400,962200
2019-07-19,206.4700,207.4000,204.7600,204.8500,823700
2019-07-18,203.8664,206.5600,203.3900,206.2600,811300
2019-07-17,203.4524,205.0000,203.4100,204.0900,972700
2019-07-16,206.6700,207.1800,203.3000,203.4800,1214000
2019-07-15,207.5100,207.5100,205.0300,206.0200,1221900
2019-07-12,207.0100,207.8400,205.1300,207.4700,1425700
2019-07-11,203.6700,206.4800,202.5000,206.4100,1168800
2019-07-10,202.1600,204.3600,201.9200,203.1700,1099100
2019-07-09,201.3000,202.1200,200.4700,201.9900,971000
2019-07-08,202.5100,203.5300,201.2200,201.9900,718200
2019-07-05,201.8300,203.3500,200.5636,202.8100,884600
2019-07-03,200.0000,201.7000,199.2047,201.6700,865100
2019-07-02,196.3000,200.3600,195.3600,199.7700,1031500
2019-07-01,195.4700,196.9900,193.3750,196.5900,1403500
2019-06-28,194.7400,194.9900,193.0500,194.1100,2138900
2019-06-27,192.6400,195.3900,192.5300,193.9000,1252000
2019-06-26,198.3700,198.3700,191.9600,192.0300,1488000
2019-06-25,198.9100,199.1100,197.3600,198.3200,1174200
2019-06-24,197.9900,199.1550,197.4800,198.4200,1200800
2019-06-21,197.8753,200.9400,197.2200,197.4600,2699900
2019-06-20,198.8300,199.9800,196.5429,198.8200,1163700
2019-06-19,195.8100,197.7313,195.3000,197.3200,1071300
2019-06-18,194.9600,196.8400,194.7900,195.8200,1364700
